Card Name	Cost(Mana)	Power	Text
Wooden Cow	1	1	Vanilla
Pegasus	3	5	Vanilla
Minotaur	5	9	Vanilla
Zeus	4	4	When Revealed: Lower the power of each card in your opponent's hand by 1.
Ares	3	3	When Revealed: Gain +2 power for each enemy card here.
Cyclops	3	5	When Revealed: Discard your other cards here, gain +2 power for each discarded.
Demeter	0	0	When Revealed: Both players draw a card.
Apollo	0	0	When Revealed: Gain +1 mana next turn.
Poseidon	4	4	When Revealed: Move away an enemy card here with the lowest power.
Hydra	2	3	Add two copies to your hand when this card is discarded.
Prometheus	3	3	When Revealed: Draw a card from your opponent's deck.
Dionysus	2	4	When Revealed: Gain +2 power for each of your other cards here.
Athena	3	4	Gain +1 power when you play another card here.
